Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
532730.0,181130.0,-0.088598,51.513457,48,2,2,1,2005-07-27,4,13:15:00,570,E09000001,5,0,6,30,7,2,5,0,0,5,1,2,2,0,0,1,1,E01000004
531590.0,181340.0,-0.104938,51.515611,48,2,2,1,2005-07-28,5,17:00:00,570,E09000001,3,201,6,30,3,2,3,4208,0,5,1,1,1,0,0,1,2,E01000004
531630.0,180710.0,-0.104597,51.50994,48,2,1,1,2005-08-02,3,08:00:00,570,E09000001,3,201,3,30,0,-1,-1,0,0,0,1,1,1,4,0,1,1,
532970.0,180950.0,-0.085209,51.511783,48,2,2,1,2005-08-04,5,17:00:00,570,E09000001,3,10,6,30,3,2,5,0,0,5,1,1,1,0,0,1,1,E01000004
532550.0,181140.0,-0.091186,51.513589,48,2,2,1,2005-08-13,7,12:40:00,570,E09000001,5,0,6,30,3,4,5,0,0,0,1,1,1,0,0,1,2,E01000004
531910.0,180940.0,-0.100479,51.511942,48,2,2,1,2005-08-30,3,04:40:00,570,E09000001,5,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000004
531590.0,181680.0,-0.104812,51.518667,48,2,2,1,2005-08-25,5,18:21:00,570,E09000001,4,400,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002724
532960.0,181880.0,-0.085002,51.520143,1,2,2,1,2005-08-25,5,00:41:00,4,E09000012,4,100,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000004
531670.0,180930.0,-0.103939,51.511908,48,2,2,1,2005-08-31,4,08:27:00,570,E09000001,3,201,6,30,3,2,3,3211,0,5,1,1,1,0,0,1,1,E01000004
533100.0,181590.0,-0.083095,51.517504,48,2,1,1,2005-09-06,3,10:22:00,570,E09000001,5,0,6,30,6,4,5,0,0,0,1,1,1,0,0,1,1,E01000004
533250.0,180650.0,-0.081289,51.509022,48,2,2,1,2005-09-23,6,20:34:00,570,E09000001,3,3211,3,30,5,4,3,3211,0,5,4,1,1,0,0,1,1,E01000004
533040.0,181120.0,-0.084136,51.513295,48,2,2,1,2005-09-16,6,22:11:00,570,E09000001,3,10,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01000004
531390.0,180810.0,-0.108016,51.510895,48,2,2,1,2005-09-07,4,17:33:00,570,E09000001,3,3211,6,30,3,2,5,0,0,5,1,1,1,0,0,1,1,E01000004
